candidate_id,rank,score,reasoning
CAND_0037566,80,0.6123,"Solid Machine Learning Engineer with 6.9 years of experience, familiar with Pinecone, NLP. Background includes relevant engineering roles at LinkedIn and Paytm. Excellent availability with 50% response rate and quick 15-day notice period, based in Bangalore, Karnataka."
CAND_0010685,81,0.6113,"Solid NLP Engineer with 6.7 years of experience, familiar with PyTorch, Elasticsearch. Background includes relevant engineering roles at Rephrase.ai and Microsoft. Excellent availability with 83% response rate and quick 30-day notice period, based in Kolkata, West Bengal."
CAND_0051004,82,0.6103,"Solid Senior Data Scientist with 4.7 years of experience, familiar with Embeddings, PyTorch. Background includes relevant engineering roles at CRED and Niramai. Excellent availability with 41% response rate and quick 15-day notice period, based in Delhi, Delhi."
CAND_0064888,83,0.6098,"Solid ML Engineer with 5.8 years of experience, familiar with Embeddings, Learning to Rank. Background includes relevant engineering roles at Verloop.io and Wipro. Excellent availability with 92% response rate and quick 30-day notice period, based in Vizag, Andhra Pradesh."
CAND_0081053,84,0.6093,"Solid NLP Engineer with 5.4 years of experience, familiar with LoRA, QLoRA. Background includes relevant engineering roles at Glance and Salesforce. Strong engagement (83% response rate, 90-day notice), located in Chandigarh, Chandigarh."
CAND_0057736,85,0.6085,"Solid Computer Vision Engineer with 6.2 years of experience, familiar with Weaviate, Qdrant. Background includes relevant engineering roles at Mad Street Den and BYJU'S. Strong engagement (92% response rate, 90-day notice), located in Coimbatore, Tamil Nadu."
CAND_0054100,86,0.6079,"Solid Junior ML Engineer with 6.0 years of experience, familiar with Vector Search, QLoRA. Background includes relevant engineering roles at Zoho and Unacademy. Strong engagement (79% response rate, 60-day notice), located in Kolkata, West Bengal."
CAND_0067866,87,0.6078,"Solid Senior Software Engineer (ML) with 6.4 years of experience, familiar with Embeddings, Elasticsearch. Background includes relevant engineering roles at Tech Mahindra and Freshworks. Strong engagement (79% response rate, 45-day notice), located in Noida, Uttar Pradesh."
CAND_0050876,88,0.6068,"Solid Applied ML Engineer with 6.0 years of experience, familiar with Qdrant, FAISS. Background includes relevant engineering roles at Freshworks and Yellow.ai. Strong engagement (67% response rate, 90-day notice), located in Kolkata, West Bengal."
CAND_0074735,89,0.6062,"Solid Applied ML Engineer with 5.5 years of experience, familiar with RAG, Weaviate. Background includes relevant engineering roles at Rephrase.ai and Netflix. Strong engagement (77% response rate, 90-day notice), located in Chandigarh, Chandigarh."
CAND_0068811,90,0.6059,"Solid Applied ML Engineer with 8.0 years of experience, familiar with Vector Search, Qdrant. Background includes relevant engineering roles at Freshworks and Yellow.ai. Excellent availability with 42% response rate and quick 30-day notice period, based in Pune, Maharashtra."
CAND_0044262,91,0.6049,"Solid Data Scientist with 6.9 years of experience, familiar with PyTorch, OpenSearch. Background includes relevant engineering roles at upGrad and Sarvam AI. Strong engagement (73% response rate, 90-day notice), located in Trivandrum, Kerala."
CAND_0051292,92,0.6047,"Solid Applied ML Engineer with 5.2 years of experience, familiar with FAISS, LLMs. Background includes relevant engineering roles at Freshworks and Vedantu. Excellent availability with 52% response rate and quick 30-day notice period, based in Trivandrum, Kerala."
CAND_0045250,93,0.6042,"Solid Applied ML Engineer with 6.6 years of experience, familiar with Milvus, LoRA. Background includes relevant engineering roles at Rephrase.ai and Paytm. Excellent availability with 74% response rate and quick 15-day notice period, based in Delhi, Delhi."
CAND_0018094,94,0.6033,"Solid ML Engineer with 5.2 years of experience, familiar with QLoRA, Pinecone. Background includes relevant engineering roles at Mad Street Den and BYJU'S. Strong engagement (69% response rate, 45-day notice), located in Bangalore, Karnataka."
CAND_0075439,95,0.6006,"Solid Machine Learning Engineer with 4.3 years of experience, familiar with Learning to Rank, LoRA. Background includes relevant engineering roles at Flipkart and Genpact AI. Excellent availability with 56% response rate and quick 30-day notice period, based in Vizag, Andhra Pradesh."
CAND_0026942,96,0.5987,"Solid Junior ML Engineer with 6.0 years of experience, familiar with Learning to Rank, TensorFlow. Background includes relevant engineering roles at Verloop.io and TCS. Excellent availability with 84% response rate and quick 30-day notice period, based in Chandigarh, Chandigarh."
CAND_0083879,97,0.5982,"Solid Machine Learning Engineer with 7.1 years of experience, familiar with Fine-tuning LLMs, Milvus. Background includes relevant engineering roles at Ola and PhonePe. Excellent availability with 47% response rate and quick 30-day notice period, based in Noida, Uttar Pradesh."
CAND_0025923,98,0.5971,"Solid Senior Software Engineer (ML) with 5.0 years of experience, familiar with Qdrant, RAG. Background includes relevant engineering roles at HCL and Krutrim. Excellent availability with 84% response rate and quick 30-day notice period, based in Kolkata, West Bengal."
CAND_0073314,99,0.5939,"Solid Senior Software Engineer (ML) with 5.2 years of experience, familiar with PEFT, Milvus. Background includes relevant engineering roles at Aganitha and Paytm. Strong engagement (84% response rate, 60-day notice), located in Noida, Uttar Pradesh."
CAND_0068513,100,0.5919,"Solid Computer Vision Engineer with 4.0 years of experience, familiar with Qdrant, RAG. Background includes relevant engineering roles at Sarvam AI. Strong engagement (80% response rate, 60-day notice), located in Kolkata, West Bengal."
